"","AsiaPop10k","Foreign10K","IncomeIneq","EuropePop10k","Urban10k","white10k","insured18to35_per10k","insured35to64_per10k","med_age","Death","Fatality_Rate","ConfirmedPer10K","TotalPop","fips","county_name"
"1",322.35330281867,963.779769603047,0.441,138.703014353888,9539.7592106656,6554.66601297358,2391.09541541662,392.689692602252,36.8,0,0,0,538479,"10003","New Castle County"
"2",38.3773341918867,216.355441081777,0.405,35.9304571796523,4581.16338600053,7623.29293973746,2040.19751025802,487.238333681063,37.3,0,0,1,79303,"1051","Elmore County"
"3",123.121513992742,406.979930340746,0.492,34.0532674087245,9016.62348549507,5302.71874326085,2418.89825319315,618.290240097479,37,0,0,0,658466,"1073","Jefferson County"
"4",62.3298649095581,353.117765283537,0.435,23.2782964866309,4239.08579159721,8033.87209779904,2048.51107728308,625.762703335137,38.5,0,0,1,82782,"1083","Limestone County"
"5",155.821031672938,394.486400196476,0.473,37.0146216526765,8950.87699410977,3952.51195702881,2562.9621667137,556.100488648223,34.6,0,0,0,229363,"1101","Montgomery County"
"6",84.3196287387631,331.17224461188,0.488,57.9830192586457,7449.19242150255,6627.2809469012,3303.19737672359,439.833252304159,31.2,0,0,0,194656,"1125","Tuscaloosa County"
"7",388.418281493734,1021.13843772902,0.516,186.737196362698,7880.65627324773,6960.410130349,3781.40806338086,438.771668494541,29.7,0,0,1,247336,"12001","Alachua County"
"8",258.831616150724,3089.87918500189,0.469,278.674316188033,9998.30670009027,6305.43125946046,2119.29770987108,1152.07886442393,39.2,0,0,1,1748066,"12011","Broward County"
"9",96.244941493867,923.80085955391,0.432,298.45970448913,9111.56534023428,9004.92567728063,1176.45566730503,917.726736591119,54.8,0,0,0,159978,"12015","Charlotte County"
"10",193.899266966186,585.19099722694,0.387,113.072078075625,8503.1304848977,8177.87441385272,1980.03779510793,668.174922147401,37.5,0,0,0,190865,"12019","Clay County"
"11",91.4710141955189,2362.40695924349,0.522,369.197080752593,9151.40582234387,8385.04603135108,1691.16002187314,1083.52803738318,45.8,0,0,0,321520,"12021","Collier County"
"12",319.881429213147,899.63361907614,0.45,161.4322078311,9708.85019953417,6086.61946652813,2463.12552075097,753.787762558802,35.4,0,0,0,864263,"12031","Duval County"
"13",252.533668378552,1508.93657580676,0.467,137.414641787115,9648.71390614907,7127.55018198444,2457.26411789931,876.167421214413,35.8,0,0,0,1229226,"12057","Hillsborough County"
"14",127.275576781899,1529.94646672111,0.471,227.215362153869,9417.97547975447,8298.87160325428,1827.37835863327,1009.303011208,44.6,1,0.25,0,618754,"12071","Lee County"
"15",125.510405845226,1233.54225579768,0.459,269.255756875767,9420.96997518841,8187.5768586235,1704.20771258201,885.750602837542,45,0,0,1,322833,"12081","Manatee County"
"16",140.064464576789,5106.79756961512,0.503,162.80127293412,9959.56233589098,7378.0691265745,2332.80770936813,1612.98315566106,37.7,0,0,0,2496435,"12086","Miami-Dade County"
"17",79.1853612568391,266.248470442622,0.429,70.3244771375125,5185.36705131353,8976.32103008975,NA,NA,42.2,0,0,1,73314,"12089","Nassau County"
"18",239.625211450164,681.089215492432,0.43,148.070036687976,8790.08085299355,8106.4251031401,2121.32189683782,799.834061747727,37.6,0,0,0,180822,"12091","Okaloosa County"
"19",339.80112786199,1914.21152698608,0.456,155.533494490607,9795.78622564915,6359.71189120699,2830.48869862923,949.052332282966,33.4,1,0.5,0,1145956,"12095","Orange County"
"20",177.038730365024,1972.56808661244,0.401,188.874835126155,9217.89456054488,7095.33468559838,2262.25193294151,1081.66210537335,35.2,0,0,0,268685,"12097","Osceola County"
"21",204.585964123766,2225.08688919742,0.505,301.51090232392,9895.74543190312,7348.65551527345,1909.8289599765,962.361757298674,43.1,0,0,0,1320134,"12099","Palm Beach County"
"22",155.307394734882,919.774639989135,0.429,241.285042736915,9053.36165286197,8818.30526127778,1766.25378308717,860.385194907241,43.4,0,0,0,464697,"12101","Pasco County"
"23",233.048701733599,1116.47752332393,0.464,375.349981432335,9971.59977393289,8214.48444261147,1803.0866223889,916.503360622851,45.6,0,0,0,916542,"12103","Pinellas County"
"24",163.045885375144,629.539817521481,0.482,234.520329524316,7622.64587795137,8934.69235262236,1712.54547081708,659.149175866117,41.8,0,0,0,190039,"12109","St. Johns County"
"25",168.427603187273,472.138421786009,0.403,103.897509436004,7901.06492614222,8781.01630420421,2035.40543842739,728.200811827154,38.7,1,1,0,151372,"12113","Santa Rosa County"
"26",114.912280701754,1155.82137161085,0.483,435.805422647528,9567.95133984103,9015.46456958529,1420.85833439721,952.859696157283,51.7,0,0,0,379448,"12115","Sarasota County"
"27",270.098003977668,1145.30467495747,0.443,190.952004408981,9684.2339337336,7822.33072639443,2265.28165251974,775.473378049504,37.7,0,0,0,422718,"12117","Seminole County"
"28",135.106530955362,767.276883720086,0.451,191.794022009745,9005.66728603114,8254.38289664431,1939.17095903851,1021.54361867386,44.4,0,0,0,494593,"12127","Volusia County"
"29",56.7627767570286,513.225829629554,0.429,48.243227985178,6477.23074772607,8273.21105863794,NA,NA,36.1,0,0,3,100157,"13015","Bartow County"
"30",147.273405952017,840.786686251412,0.41,115.181570948648,8289.72782323906,8655.91147023971,2012.80147903303,694.557270511779,35.7,0,0,0,214346,"13057","Cherokee County"
"31",362.222136929032,1520.75134115341,0.441,143.799398289347,9975.38069811853,6220.55929705644,2368.01243367999,753.733530258252,34.9,1,0.125,1,688078,"13067","Cobb County"
"32",87.7164110328484,540.122440918965,0.388,81.6272793101178,6706.72416095258,7586.88941775254,2007.25047969551,713.881287156742,36.1,0,0,0,127317,"13077","Coweta County"
"33",404.204438180197,1628.89880079548,0.472,107.576772288293,9973.69535462853,3326.46810995342,2715.99227825143,1030.00421690351,33.9,0,0,0,691893,"13089","DeKalb County"
"34",310.411603888214,884.815461725395,0.395,150.934082624544,8182.17647114022,7113.0837876641,1478.47885725097,535.805505628607,41.4,0,0,2,106567,"13113","Fayette County"
"35",109.591900636677,668.823713599833,0.458,29.4332533138503,6317.78398413572,7688.67385819741,NA,NA,37.2,0,0,3,96317,"13115","Floyd County"
"36",441.192718679748,1296.14806162921,0.529,155.403379099012,9892.23110188022,4450.41772532781,2735.4199117624,812.771391526058,34,0,0,0,920581,"13121","Fulton County"
"37",789.772011588361,2552.90981488955,0.408,234.183609203853,9951.44793194267,5334.05933782926,2272.23140290496,1031.29853509437,33.3,0,0,0,805321,"13135","Gwinnett County"
"38",107.419268748332,414.90335125243,0.459,66.8153570475428,7279.57668470151,5811.88834875907,3062.00036207373,805.423483339844,30.1,0,0,0,109233,"13185","Lowndes County"
"39",1583.06865432067,1954.56912818148,0.422,80.6844086985477,9913.71234160051,2084.87768134309,2231.03555641314,280.552729441482,37.5,0,0,0,953207,"15003","Honolulu County"
"40",1119.00397189123,1373.96883593034,0.422,81.4237702413688,8713.98548240449,3302.82750294376,1905.3639154777,538.047077237975,40.4,0,0,1,67091,"15007","Kauai County"
"41",184.28338034976,583.187556143918,0.435,159.461858908694,9452.77993704841,9031.05526741682,2331.52873917697,628.558544783565,34.4,0,0,0,392365,"16001","Ada County"
"42",503.664519042508,2101.12688406851,0.488,502.29970028116,9995.47036147593,5538.77191547113,2597.49161836765,803.649718543913,35.1,0,0,0,5194675,"17031","Cook County"
"43",238.824737181375,1786.64937090652,0.421,186.30080297954,9644.16644509955,7463.05327896691,2155.32446248098,580.169352635892,34.2,0,0,0,515269,"17089","Kane County"
"44",437.993685983083,1800.81442498985,0.468,384.707514139124,9873.26962934743,7508.63586092781,2011.0146526778,529.482084306778,36.1,0,0,0,703462,"17097","Lake County"
"45",180.918150628982,975.232805097206,0.386,249.305669008332,9012.14535561601,9012.08058038606,1876.49242109635,466.316704734219,37.1,0,0,0,308760,"17111","McHenry County"
"46",54.4029642263751,167.619943832615,0.396,61.7547161488583,6955.37270363704,9520.29942001657,NA,NA,38.4,0,0,1,70002,"18059","Hancock County"
"47",114.12003313623,350.858399748622,0.37,59.9165881109492,8215.3071888235,9014.69941147352,2021.41816551801,408.892250798454,36.5,0,0,1,145448,"18063","Hendricks County"
"48",77.1667906775796,188.176559537239,0.423,42.8437702517822,7846.45688321732,8855.85846867749,NA,NA,39.7,0,0,1,82752,"18067","Howard County"
"49",142.873950321338,318.469932497022,0.399,54.6347632983808,8610.35129677632,9390.35043750985,2079.71713275474,532.786885245902,36.4,0,0,2,139654,"18081","Johnson County"
"50",51.2002307616034,315.043673436275,0.418,83.7412224956507,6437.24151542609,8413.88034126692,1856.27741389823,609.940795814402,39.2,0,0,0,111467,"18091","LaPorte County"
"51",167.086431059871,793.758754444564,0.46,57.6670976547068,9939.98182407878,6274.71100617339,2652.75804448257,698.916083603642,34,0,0,0,903393,"18097","Marion County"
"52",147.079790786502,558.978245698291,0.445,110.985209476141,9099.84228133862,7866.15267615976,2419.30301392233,609.172938583725,35.9,0,0,0,266931,"18141","St. Joseph County"
"53",428.209206734176,824.448399136967,0.473,92.1303368663086,8146.34556317905,8563.66803685763,NA,NA,28.8,0,0,10,130882,"19103","Johnson County"
"54",58.8504046645201,337.111652597685,0.399,31.4376468540597,7358.03688357414,9291.52622426415,2203.13022468153,575.025078471346,38.2,0,0,1,93158,"19155","Pottawattamie County"
"55",322.479236787218,787.496141016663,0.427,94.1027204891308,9616.63349743375,8601.06692834527,2178.15520823923,384.065813514854,36.1,0,0,0,544179,"20091","Johnson County"
"56",283.487923838206,764.90929250416,0.444,44.6594791853091,9234.13562348881,7634.6051588695,2351.49799672339,656.884134373631,34.4,0,0,0,498365,"20173","Sedgwick County"
"57",501.676240998779,924.236721110787,0.416,129.455758142873,9588.28205848691,6596.32794884623,2466.06731130136,616.061055604211,33,0,0,0,291826,"2020","Anchorage Municipality"
"58",134.052051305142,1420.66871647091,0.431,37.5654500778325,9393.73353226882,5463.69956509317,2485.85302439397,935.675868573322,33.1,1,1,0,157505,"20209","Wyandotte County"
"59",293.981843114791,853.547188807304,0.481,106.823586592373,9693.3093984848,7572.57363853646,3058.05040587977,639.020677928916,33.5,0,0,1,295803,"21067","Fayette County"
"60",186.509873165061,574.773939889122,0.47,94.83831698316,9862.68985394605,7269.15271435819,2316.17827383061,579.613391246533,37.7,0,0,0,741096,"21111","Jefferson County"
"61",83.5019442951535,215.927412980936,0.502,34.5389017103474,8556.49118128086,4900.28199506607,2371.29334880155,904.288415297475,36.4,0,0,0,254969,"22017","Caddo Parish"
"62",300.706001359569,1066.0782935323,0.458,54.1739459281377,9885.74784072204,6290.9199356378,2335.00174601327,910.790362006751,38.6,0,0,0,432552,"22051","Jefferson Parish"
"63",37.8295678417236,218.489332271451,0.461,16.4521943245169,7578.33426773812,7936.7304138375,NA,NA,36.3,0,0,1,96318,"22057","Lafourche Parish"
"64",193.846622754288,601.893086340315,0.541,78.5342973737237,9940.81360211035,3298.96547411649,2918.94842645224,935.088266555756,35.8,0,0,7,343829,"22071","Orleans Parish"
"65",81.6972048196982,330.283886864662,0.441,51.8580653053378,7678.18944125952,8358.17575083426,1867.81522428363,734.211286864774,38.8,0,0,0,233740,"22103","St. Tammany Parish"
"66",58.2195786954135,279.759922973788,0.449,29.1547812941483,7937.15358483819,7025.8358662614,2320.65025326894,769.321384234802,35.1,0,0,0,111860,"22109","Terrebonne Parish"
"67",58.0263621364083,335.922582080421,0.414,49.8693016443892,5663.31173051568,9279.21487066164,2177.25809830321,394.012683056883,39.4,0,0,0,107702,"23001","Androscoggin County"
"68",263.329664908353,753.994155819513,0.406,134.643846533338,9469.5865014061,7541.17874626155,2093.31085096039,351.994474583857,38.1,0,0,0,537656,"24003","Anne Arundel County"
"69",398.676167893943,1027.32124199976,0.438,189.953640851106,9346.61981121177,6461.69268436292,2311.64575344845,439.385225632462,38.9,0,0,0,805029,"24005","Baltimore County"
"70",124.096933161093,346.753743840008,0.386,88.2134826084876,6049.39748943961,9290.8684049924,1812.71482834801,231.517989898929,39.9,0,0,0,167134,"24013","Carroll County"
"71",189.143365389961,488.492967924843,0.359,79.7014842403691,7049.62777463136,5027.3966059597,2020.50947818008,303.828713269452,36.6,0,0,0,146551,"24017","Charles County"
"72",174.401370178848,463.711669576101,0.39,114.620730542472,8224.28990385008,8118.54133139454,1995.62080447139,271.929932871542,38.7,0,0,0,244826,"24025","Harford County"
"73",1152.05388342852,3093.9792869736,0.453,344.140282719086,9761.62226519047,5745.74207868678,2110.35996959633,576.905599894248,38.2,0,0,0,971777,"24031","Montgomery County"
"74",311.071904081093,1940.32679631506,0.38,67.3084347893233,9803.32862338144,1923.27025086285,2632.41651144653,640.874985530327,34.6,0,0,0,863420,"24033","Prince George's County"
"75",119.670336354236,453.059424609209,0.462,147.497110881333,6840.62521433634,9250.4896394577,1907.97603591484,150.55764989285,43.8,0,0,6,131219,"25003","Berkshire County"
"76",254.593946512026,1453.39716873153,0.471,311.578186128579,9575.59553204631,8186.25623857075,2007.72331836556,197.57736557176,40,0,0,0,743159,"25009","Essex County"
"77",702.052259865048,1840.47081056931,0.461,422.300642585862,9697.22936493944,7999.62077992928,2416.44755748091,162.431749391015,38.3,0,0,3,1503085,"25017","Middlesex County"
"78",643.414587729222,1503.66196076891,0.47,409.197117555813,9875.9633301036,8226.0863084147,1983.4206776632,153.189678073756,40.2,0,0,3,670850,"25021","Norfolk County"
"79",632.001816994577,2765.73545694575,0.518,381.07202680067,9992.59026374506,5599.11526364119,3838.73087995802,272.582267988295,31.6,0,0,3,722023,"25025","Suffolk County"
"80",312.178365988723,1071.9260470667,0.433,228.286744416591,8160.97135815827,8557.50157785592,2114.01868447011,176.104748810798,38.6,0,0,0,798552,"25027","Worcester County"
"81",47.986242094752,154.868893080365,0.42,50.8524723547469,6968.85061844095,9413.57136892114,NA,NA,41.2,0,0,0,107771,"26017","Bay County"
"82",439.891244468928,824.658361914239,0.462,121.905709665381,8679.36417522562,7615.40789262892,3338.03974835573,314.698312839577,30.9,0,0,0,280895,"26065","Ingham County"
"83",179.95368949272,732.009635788547,0.441,127.821003883677,8432.46678680831,7991.64318594409,2444.14758163495,455.920047423834,34,0,0,0,602622,"26081","Kent County"
"84",417.401998829837,968.310069373963,0.404,416.040788546729,9719.46947482574,8537.35769544507,2037.65784690349,600.597576123812,39.3,0,0,0,840978,"26099","Macomb County"
"85",594.407020821521,1122.5754779109,0.458,287.516661629672,9521.33384122253,7725.7265282835,1955.50478495289,498.459054641722,39.5,0,0,0,1202362,"26125","Oakland County"
"86",55.6966913872278,225.984950428134,0.409,70.6617828975555,6135.42688910697,9387.38959764475,1814.51040206498,741.390276585628,40.2,0,0,0,163040,"26147","St. Clair County"
"87",634.138399230114,1108.36844048647,0.463,210.788290056317,8355.35150279445,7450.31047794171,3110.44371643678,325.169154243447,32.8,0,0,0,344791,"26161","Washtenaw County"
"88",369.6717533825,762.226777490133,0.469,147.933929367684,9930.43990280042,5228.73978899079,2177.92765956268,720.101308756169,36.5,0,0,0,1820584,"26163","Wayne County"
"89",227.969372053831,693.860977456464,0.371,147.98011870161,8649.93773500502,8699.02431357377,2125.90002811633,335.134408273535,36.4,0,0,0,330844,"27003","Anoka County"
"90",193.530924347002,565.931339378355,0.4,133.306266071187,8117.24259133147,9275.93857779926,NA,NA,35.9,0,0,1,91042,"27019","Carver County"
"91",299.481417458946,786.974426762926,0.395,105.470537393869,9506.91503241735,8518.31128685843,2123.00873603002,197.082623777195,36.1,0,0,0,398552,"27037","Dakota County"
"92",423.317806430496,1259.83482941817,0.476,138.175943800472,9777.50395904289,7435.05217259258,2625.43527987612,383.902221313888,35.9,0,0,0,1152425,"27053","Hennepin County"
"93",395.981422219705,941.98691625839,0.428,123.191073603127,8340.70489712162,8568.922966003,2299.71507584011,206.570015922232,36,0,0,0,144248,"27109","Olmsted County"
"94",651.444108977506,1302.86834170455,0.458,89.4630033411977,9981.28342245989,7009.81047499214,2734.70994751139,358.438043458906,34.7,0,0,0,508640,"27123","Ramsey County"
"95",142.637922759199,392.761294422249,0.424,33.3948501625802,6306.67410151219,9178.18403897983,2947.68814032076,296.559030199002,33.1,0,0,0,150642,"27145","Stearns County"
"96",67.818223974032,267.877844390712,0.368,54.0724056838131,6749.23817161187,9504.25020048115,NA,NA,34.1,0,0,0,124700,"27171","Wright County"
"97",62.3233275003365,282.272176605196,0.483,30.8251447031902,7036.45875036699,5968.71913950944,3046.2433244099,657.299324627322,30.8,0,0,4,74934,"28035","Forrest County"
"98",118.768274177431,272.882045967652,0.458,52.1854990932307,8600.23112648724,9116.63165851425,2822.50317451554,561.438377592521,35.6,0,0,0,275174,"29077","Greene County"
"99",276.56100230726,621.479327712931,0.476,191.444528712677,9886.20096621066,7026.8300642472,2095.21297639457,436.928757646152,39.4,0,0,0,998954,"29189","St. Louis County"
"100",103.905287649984,305.100597655003,0.437,93.9823897075596,6645.73860779998,9505.21153352027,3386.78897853962,558.661711696631,31.8,0,0,1,89513,"30031","Gallatin County"
"101",64.5609163484901,165.914612981604,0.429,43.8736549809094,8331.17076203606,9071.17562782148,2263.61404807943,646.110174023944,38.3,0,0,0,147972,"30111","Yellowstone County"
"102",198.043695417816,824.872167660644,0.461,73.8608828096411,9782.94753534064,7639.09032894355,2606.16149951836,508.371581368176,33.6,0,0,2,517110,"31055","Douglas County"
"103",635.999284629397,2207.53555354966,0.434,186.698010731614,9869.39268752796,6088.91956977741,2390.03795833497,899.862346617023,35.1,0,0,0,1951269,"32003","Clark County"
"104",384.382478611776,1533.48480297643,0.456,142.014901512436,9573.31036266602,7690.1902436362,2408.9573088026,959.02035990379,36.6,0,0,0,421407,"32031","Washoe County"
"105",192.742994250532,560.233600434605,0.438,187.876318529585,3128.43645503714,9356.80782782378,2487.95424866033,606.67807448102,40.4,0,0,3,89118,"33009","Grafton County"
"106",152.28857106008,467.454978651769,0.404,152.084931339474,7510.1872144108,9550.94962113386,1736.54831998477,513.489074121918,41.4,0,0,1,295223,"33015","Rockingham County"
"107",1232.9416541548,2838.41727999001,0.468,662.534217084113,9989.846605297,7189.1669134122,1912.40681280345,683.424622529359,40.8,1,0.0666667,1,905116,"34003","Bergen County"
"108",341.668508756065,930.02069838633,0.405,204.706370949915,9333.68097804044,7383.92900916801,1867.31830059034,340.425728018876,39.6,0,0,0,448734,"34005","Burlington County"
"109",384.014767102696,1006.53459871411,0.443,152.772531319732,9838.25782574753,6529.43501208005,2204.17440967196,558.325812497161,37.2,0,0,0,513657,"34007","Camden County"
"110",350.608038193199,2360.52771773095,0.523,359.060127652163,9998.5458608695,4258.68880019491,2308.59922467607,836.798086545306,36,0,0,0,783969,"34013","Essex County"
"111",1037.65654058763,4061.36728589041,0.488,376.260000032148,10000,5404.54635752192,3078.5717110206,1065.98125667286,34.1,0,0,0,634266,"34017","Hudson County"
"112",614.194185679595,1973.85064961791,0.476,376.984181426553,9651.744958569,6139.23653458404,2363.36052003566,528.701073625577,37.4,0,0,0,366513,"34021","Mercer County"
"113",1492.18532899727,2935.7401969252,0.407,399.721110251577,9932.56842557584,5860.15079186722,2402.19830775065,587.326158991862,36.9,0,0,0,809858,"34023","Middlesex County"
"114",383.689533076904,1297.25271926026,0.462,326.311231118017,9627.05035058219,8260.35089945747,1812.14790699159,453.663363176457,40.6,0,0,1,630380,"34025","Monmouth County"
"115",685.876797376947,1866.98542907366,0.449,442.578872258892,9323.06267215952,8261.28025741657,1767.82336442502,416.94524166721,40.5,0,0,0,492276,"34027","Morris County"
"116",153.782926512275,775.535939470366,0.426,278.533968885126,9710.16377975153,9098.28346055185,1804.61720056281,427.564418857259,42.4,0,0,0,576567,"34029","Ocean County"
"117",530.729296821469,2712.00957670635,0.463,410.83909037412,9758.99095418035,6264.6590559947,2368.41048055986,820.973171887931,36,0,0,0,501226,"34031","Passaic County"
"118",935.847213219476,2199.6135864749,0.445,390.359076490463,9420.73434659477,7006.0968823042,1773.78812843985,452.448661124487,39.7,0,0,0,323444,"34035","Somerset County"
"119",351.356914494842,2880.7452407435,0.481,564.576893080312,10000,6133.31991299145,2147.85910422661,732.125730352052,37.8,0,0,0,536499,"34039","Union County"
"120",179.955818767285,1096.81687976614,0.453,84.2968026576758,9580.44807746874,6937.59395318792,2487.45008427183,700.629805122334,35.7,0,0,0,662564,"35001","Bernalillo County"
"121",77.1337031234563,1290.24290412274,0.489,143.187816685721,7483.9425678019,7616.00887840744,1810.32296246195,938.169315747943,42.2,0,0,2,144170,"35049","Santa Fe County"
"122",356.409851594569,890.827281338806,0.449,230.896747710767,9030.3875031229,7819.52242574062,2645.43313999894,289.76879689246,38.1,0,0,1,304204,"36001","Albany County"
"123",265.831357941077,607.109420131073,0.452,195.065835341925,7394.31704885344,8795.81256231306,2459.30265021345,401.567488819967,39.8,0,0,0,200600,"36007","Broome County"
"124",271.077014506064,1109.86925632783,0.42,298.292768578298,7460.06561609208,8013.3316301834,2092.41943245274,353.115901639912,39.4,0,0,1,297488,"36027","Dutchess County"
"125",289.717432420401,835.601950156083,0.452,282.378715562666,9355.00252571392,7611.19858560021,2358.7448810783,333.143492528408,38.1,0,0,0,744344,"36055","Monroe County"
"126",611.421559074941,2069.78044260592,0.448,402.728798728146,9980.77686833909,7297.89956492267,1911.20161279411,428.92836686556,40.7,0,0,3,1339532,"36059","Nassau County"
"127",838.547505439434,2855.36001313675,0.601,532.695022247205,10000,5744.93039480463,3301.82993366459,486.298971217435,36.3,1,0.0064935,9,1585873,"36061","New York County"
"128",189.167506300631,1123.74088670749,0.408,243.975570028174,7765.93090906165,7719.74153261823,1918.12370746381,457.931057363724,36.2,0,0,0,372813,"36071","Orange County"
"129",530.182249125093,2212.91752465945,0.442,454.984433364652,9928.26136476658,7324.49540725151,1983.01999258937,399.755127027854,36.8,0,0,2,311687,"36087","Rockland County"
"130",127.632741733559,409.82399293026,0.408,167.077840783563,7003.82956827424,9434.17104190668,1921.28054510191,271.810325274379,40,0,0,1,219607,"36091","Saratoga County"
"131",242.777357308766,871.284286348096,0.422,194.300180076728,9184.3698901937,7963.12214416359,2186.27965261992,393.554946798521,39.7,0,0,0,154727,"36093","Schenectady County"
"132",274.783683226445,1400.13679152378,0.417,290.28402453074,9739.88683162018,8077.79154250511,1991.23328870925,468.337228676282,39.2,0,0,1,1493350,"36103","Suffolk County"
"133",145.255003227889,712.871070455515,0.43,241.380442275498,5395.98779131254,8667.94890762933,2126.07339563792,540.759315970316,41.2,0,0,2,182493,"36111","Ulster County"
